Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:360(ZipInfo)
     1222    0.004    0.000    0.008    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:326(__call__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1353(_recalculate)
    34845    0.102    0.000    0.216    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:43(decode_R_type)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       83    0.000    0.000    0.001    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:313(__call__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1183(__init__)
      4/2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:839(ZipExtFile)
   334105    0.466    0.000    1.920    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:17(__init__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:1(AddressBus)
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    34845    0.131    0.000    0.186    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:208(__call__)
       36    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\site-packages\_distutils_hack\__init__.py:82(find_spec)
    55763    0.137    0.000    0.292    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:25(decode_B_type)
   116248    0.414    0.000    0.582    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:137(__call__)
       55    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:533(_split_addr_prefix)
       26    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\utils\decoder.py:53(decode_R_type_atomic)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:231(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1349(_get_parent_path)
       34    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1631(_make_netmask)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1806(_writecheck)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\lzma.py:38(LZMAFile)
       21    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1161(_make_netmask)
